x,y
0.0000000000,3.9552015739
0.2040816327,2.3658804864
0.4081632653,4.3522020380
0.6122448980,5.5622056670
0.8163265306,4.5091646863
1.0204081633,4.3682097071
1.2244897959,8.1845631793
1.4285714286,8.2813275956
1.6326530612,9.7124244457
1.8367346939,9.1450443632
2.0408163265,10.0836564518
2.2448979592,7.9497867267
2.4489795918,10.2625087925
2.6530612245,8.7626977954
2.8571428571,10.6803185940
3.0612244898,14.6359301682
3.2653061224,10.8666400999
3.4693877551,12.5339737725
3.6734693878,12.4841757957
3.8775510204,13.5942951606
4.0816326531,16.0340483811
4.2857142857,11.1950748767
4.4897959184,16.7035348287
4.6938775510,16.7896420847
4.8979591837,20.9579702552
5.1020408163,17.9736104551
5.3061224490,19.1550702289
5.5102040816,22.1374727766
5.7142857143,18.4806192993
5.9183673469,20.1092707554
6.1224489796,20.6891211255
6.3265306122,21.1016726223
6.5306122449,21.7207793701
6.7346938776,22.2233933821
6.9387755102,21.7673391941
7.1428571429,20.3423528038
7.3469387755,22.2370975768
7.5510204082,26.2398823299
7.7551020408,25.1394977806
7.9591836735,25.7325819714
8.1632653061,27.1120081078
8.3673469388,29.3006022408
8.5714285714,27.1629897213
8.7755102041,27.3896324080
8.9795918367,27.5512756057
9.1836734694,30.3659722809
9.3877551020,29.2330923132
9.5918367347,29.2515897974
9.7959183673,32.2355921267
10.0000000000,30.8709272492
